Generating SQLite file profiles/baseline.sqlite from profiles/baseline.nsys-rep
Processing [profiles/baseline.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)     StdDev (ns)   Style                 Range               
 --------  ---------------  ---------  ---------------  ---------------  -------------  -------------  -----------  -------  ----------------------------------
     24.3    6,937,885,035          1  6,937,885,035.0  6,937,885,035.0  6,937,885,035  6,937,885,035          0.0  PushPop  :af_suite.scenario:baseline       
     24.2    6,888,216,187          1  6,888,216,187.0  6,888,216,187.0  6,888,216,187  6,888,216,187          0.0  PushPop  :maf.agent.run:baseline           
     24.2    6,887,960,403          1  6,887,960,403.0  6,887,960,403.0  6,887,960,403  6,887,960,403          0.0  PushPop  :maf.chat.get_response:baseline   
     24.2    6,887,742,663          1  6,887,742,663.0  6,887,742,663.0  6,887,742,663  6,887,742,663          0.0  PushPop  :maf.function_loop.chat:1         
      3.2      902,177,243     19,201         46,986.0          2,354.0            200     55,739,865    558,476.4  PushPop  GIL Trace:Holding GIL             
      0.0          586,503          6         97,750.5         27,062.5         24,226        264,451    112,408.7  PushPop  GIL Trace:Waiting for GIL         
      0.0          106,025          1        106,025.0        106,025.0        106,025        106,025          0.0  PushPop  :maf.agent.after_run:baseline     
      0.0           68,001          1         68,001.0         68,001.0         68,001         68,001          0.0  PushPop  :maf.agent.prepare:baseline       
      0.0           33,314          1         33,314.0         33,314.0         33,314         33,314          0.0  PushPop  :maf.function_loop.process_tools:1
      0.0           10,060          1         10,060.0         10,060.0         10,060         10,060          0.0  PushPop  :maf.function_loop.pre_tools:1    

Processing [profiles/baseline.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)       Med (ns)    Min (ns)     Max (ns)       StdDev (ns)           Name        
 --------  ---------------  ---------  ---------------  -----------  ---------  -------------  ---------------  -------------------
     48.5    6,557,131,917         54    121,428,368.8      1,939.0      1,052  1,414,731,986    248,910,190.1  epoll_wait         
     48.4    6,533,083,748          6  1,088,847,291.3  1,347,242.0    126,254  6,521,069,863  2,661,236,498.7  sem_wait           
      1.4      184,481,650      1,369        134,756.5    142,675.0      5,030        855,492         43,093.4  open64             
      0.9      117,187,896      1,306         89,730.4     88,471.0      1,022      2,441,215         70,596.0  close              
      0.7       92,290,825      2,594         35,578.6     17,494.0      1,082     46,079,495        904,456.0  read               
      0.1       11,244,627      1,413          7,958.0      4,368.0      3,066      2,528,314         82,821.5  munmap             
      0.1        7,871,488      1,446          5,443.6      3,717.0      3,236      1,247,149         32,730.2  mmap64             
      0.0        2,408,452          1      2,408,452.0  2,408,452.0  2,408,452      2,408,452              0.0  waitpid            
      0.0          772,192          3        257,397.3    256,466.0    246,005        269,721         11,885.4  pthread_create     
      0.0          478,033          4        119,508.3    134,164.0      1,603        208,102         96,069.0  poll               
      0.0          390,015          8         48,751.9     15,951.0      9,298        159,759         64,698.2  fopen64            
      0.0          377,457         38          9,933.1      5,425.0      4,579         69,384         13,209.3  fgets              
      0.0          313,876         22         14,267.1     12,409.0      1,002         41,490         12,868.6  pthread_cond_signal
      0.0          210,645          5         42,129.0      5,831.0      2,384        107,397         52,920.9  fclose             
      0.0          160,118         45          3,558.2      3,497.0      1,392          5,742          1,118.0  epoll_ctl          
      0.0          118,918         11         10,810.7      9,188.0      5,029         24,137          5,466.2  send               
      0.0          117,217          5         23,443.4      9,358.0      7,715         59,215         22,496.6  connect            
      0.0          102,791         21          4,894.8      4,920.0      1,202         12,555          2,078.5  recv               
      0.0           46,859          5          9,371.8      7,995.0      6,542         14,438          3,160.7  socket             
      0.0           24,907          2         12,453.5     12,453.5      1,462         23,445         15,544.3  shutdown           
      0.0           19,698          3          6,566.0      7,084.0      4,358          8,256          2,000.0  write              
      0.0           18,506          2          9,253.0      9,253.0      8,086         10,420          1,650.4  pipe2              
      0.0           16,311          3          5,437.0      5,200.0      4,508          6,603          1,067.4  stat               
      0.0           14,879          1         14,879.0     14,879.0     14,879         14,879              0.0  socketpair         
      0.0           13,245          1         13,245.0     13,245.0     13,245         13,245              0.0  fread              
      0.0           11,784          3          3,928.0      3,467.0      3,417          4,900            842.1  writev             
      0.0            7,936          5          1,587.2      1,443.0      1,082          2,746            667.6  sigaction          
      0.0            7,744          6          1,290.7      1,087.0      1,011          2,375            534.0  ioctl              
      0.0            4,690          1          4,690.0      4,690.0      4,690          4,690              0.0  fputs_unlocked     
      0.0            3,307          1          3,307.0      3,307.0      3,307          3,307              0.0  getc               
      0.0            2,145          2          1,072.5      1,072.5      1,053          1,092             27.6  fcntl64            
      0.0            1,503          1          1,503.0      1,503.0      1,503          1,503              0.0  getentropy         
      0.0            1,183          1          1,183.0      1,183.0      1,183          1,183              0.0  fcntl              
      0.0            1,092          1          1,092.0      1,092.0      1,092          1,092              0.0  dup2               

