Generating SQLite file profiles/local_fanout.sqlite from profiles/local_fanout.nsys-rep
Processing [profiles/local_fanout.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)   Style                                         Range                                       
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  -------  ----------------------------------------------------------------------------------
     41.0      801,926,717     14,647       54,750.2        2,294.0          201  140,188,953  1,377,312.7  PushPop  GIL Trace:Holding GIL                                                             
     12.5      244,581,473          1  244,581,473.0  244,581,473.0  244,581,473  244,581,473          0.0  PushPop  :af_suite.scenario:local_fanout                                                   
     12.4      242,878,944          1  242,878,944.0  242,878,944.0  242,878,944  242,878,944          0.0  PushPop  :maf.workflow.run:WorkflowBuilder-16db28ad-f2bc-4dac-a487-fbbb33638e72            
      9.8      191,452,962          1  191,452,962.0  191,452,962.0  191,452,962  191,452,962          0.0  PushPop  :maf.workflow.superstep:WorkflowBuilder-16db28ad-f2bc-4dac-a487-fbbb33638e72:1    
      7.2      140,938,370          1  140,938,370.0  140,938,370.0  140,938,370  140,938,370          0.0  PushPop  :maf.workflow.run_iteration:WorkflowBuilder-16db28ad-f2bc-4dac-a487-fbbb33638e72:1
      7.2      140,849,990          1  140,849,990.0  140,849,990.0  140,849,990  140,849,990          0.0  PushPop  :maf.workflow.deliver:dispatch                                                    
      2.6       51,218,461          1   51,218,461.0   51,218,461.0   51,218,461   51,218,461          0.0  PushPop  :maf.workflow.superstep:WorkflowBuilder-16db28ad-f2bc-4dac-a487-fbbb33638e72:2    
      1.8       35,789,800          1   35,789,800.0   35,789,800.0   35,789,800   35,789,800          0.0  PushPop  :maf.workflow.executor:worker_3:Worker:WorkflowMessage                            
      1.8       35,724,654          1   35,724,654.0   35,724,654.0   35,724,654   35,724,654          0.0  PushPop  :maf.workflow.executor:worker_0:Worker:WorkflowMessage                            
      1.8       34,601,234          1   34,601,234.0   34,601,234.0   34,601,234   34,601,234          0.0  PushPop  :maf.workflow.executor:worker_1:Worker:WorkflowMessage                            
      1.7       33,836,297          1   33,836,297.0   33,836,297.0   33,836,297   33,836,297          0.0  PushPop  :maf.workflow.executor:worker_2:Worker:WorkflowMessage                            
      0.0          908,574          1      908,574.0      908,574.0      908,574      908,574          0.0  PushPop  :maf.workflow.run_iteration:WorkflowBuilder-16db28ad-f2bc-4dac-a487-fbbb33638e72:2
      0.0          771,100          1      771,100.0      771,100.0      771,100      771,100          0.0  PushPop  :maf.workflow.deliver:worker_0                                                    
      0.0          732,004          1      732,004.0      732,004.0      732,004      732,004          0.0  PushPop  :maf.workflow.deliver:worker_1                                                    
      0.0          696,245          1      696,245.0      696,245.0      696,245      696,245          0.0  PushPop  :maf.workflow.deliver:worker_2                                                    
      0.0          670,856          1      670,856.0      670,856.0      670,856      670,856          0.0  PushPop  :maf.workflow.deliver:worker_3                                                    
      0.0          158,236          1      158,236.0      158,236.0      158,236      158,236          0.0  PushPop  :maf.workflow.executor:join:Join:WorkflowMessage                                  
      0.0          110,002          1      110,002.0      110,002.0      110,002      110,002          0.0  PushPop  :maf.workflow.executor:dispatch:Dispatch:str                                      

Processing [profiles/local_fanout.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)          Name        
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  ------------  -------------------
     36.5      139,725,952      1,059    131,941.4    142,685.0      4,919     237,559      43,388.6  open64             
     26.2      100,369,847         16  6,273,115.4      1,337.0      1,012  50,068,630  17,095,636.4  epoll_wait         
     22.8       87,186,234        987     88,334.6     89,753.0      2,204     159,287      21,191.7  close              
      9.7       37,309,380      1,973     18,910.0     17,554.0      1,072      96,216      12,222.8  read               
      2.6       10,032,007      1,092      9,186.8      5,064.5      4,238   1,840,866      73,163.6  munmap             
      1.3        5,040,673      1,119      4,504.6      3,536.0      3,155      18,746       1,854.7  mmap64             
      0.4        1,365,958          1  1,365,958.0  1,365,958.0  1,365,958   1,365,958           0.0  sem_wait           
      0.1          456,322          3    152,107.3    152,414.0    123,930     179,978      28,025.3  poll               
      0.1          305,179          1    305,179.0    305,179.0    305,179     305,179           0.0  pthread_create     
      0.1          217,991          7     31,141.6     10,550.0      8,636     149,860      52,473.3  fopen64            
      0.0          144,871          7     20,695.9     17,774.0      1,032      47,061      14,657.2  pthread_cond_signal
      0.0           93,330          2     46,665.0     46,665.0      5,641      87,689      58,016.7  fclose             
      0.0           89,322          4     22,330.5      9,293.0      8,366      62,370      26,699.4  connect            
      0.0           88,491          3     29,497.0     22,002.0     10,751      55,738      23,411.3  fgets              
      0.0           75,577          4     18,894.3     17,193.5      5,361      35,829      13,414.2  send               
      0.0           43,744          4     10,936.0     10,179.5      5,981      17,404       4,836.9  socket             
      0.0           28,325          1     28,325.0     28,325.0     28,325      28,325           0.0  pthread_mutex_lock 
      0.0           26,441          3      8,813.7      6,783.0      3,948      15,710       6,138.3  stat               
      0.0           26,241          2     13,120.5     13,120.5      1,443      24,798      16,514.5  shutdown           
      0.0           22,784          4      5,696.0      5,094.5      4,289       8,306       1,800.7  write              
      0.0           18,525          8      2,315.6      2,384.5      1,062       3,407         958.2  epoll_ctl          
      0.0           15,099          1     15,099.0     15,099.0     15,099      15,099           0.0  socketpair         
      0.0           13,145          1     13,145.0     13,145.0     13,145      13,145           0.0  fread              
      0.0           11,301          3      3,767.0      3,557.0      3,406       4,338         500.2  writev             
      0.0            6,513          5      1,302.6      1,092.0      1,022       2,194         501.9  ioctl              
      0.0            6,402          4      1,600.5      1,583.0      1,463       1,773         137.2  sigaction          
      0.0            4,580          4      1,145.0      1,152.5      1,002       1,273         138.0  fcntl              
      0.0            3,116          1      3,116.0      3,116.0      3,116       3,116           0.0  getc               
      0.0            2,134          2      1,067.0      1,067.0      1,042       1,092          35.4  fcntl64            

