Generating SQLite file profiles/local_fanout_heavy.sqlite from profiles/local_fanout_heavy.nsys-rep
Processing [profiles/local_fanout_heavy.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)  Min (ns)    Max (ns)     StdDev (ns)   Style           Range        
 --------  ---------------  ---------  ---------  --------  --------  -------------  -----------  -------  ---------------------
    100.0    1,938,372,496     14,554  133,184.9   2,364.0       200  1,187,477,961  9,877,088.4  PushPop  GIL Trace:Holding GIL

Processing [profiles/local_fanout_heavy.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)          Name        
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  ------------  -------------------
     35.7      172,254,188      1,055    163,274.1    172,151.0      6,562     368,666      57,732.7  open64             
     26.3      126,915,701        983    129,110.6    128,029.0      3,898     262,488      35,525.4  close              
     20.8      100,368,492         19  5,282,552.2      1,243.0      1,032  50,074,626  15,784,125.6  epoll_wait         
     13.9       67,323,387      1,965     34,261.3     25,858.0      2,054     204,281      22,809.9  read               
      1.5        7,453,323      1,119      6,660.7      5,550.0      4,198      23,714       2,638.3  mmap64             
      1.1        5,281,487      1,092      4,836.5      4,117.5      3,636      37,810       2,116.9  munmap             
      0.2        1,154,100          1  1,154,100.0  1,154,100.0  1,154,100   1,154,100           0.0  sem_wait           
      0.1          677,571          1    677,571.0    677,571.0    677,571     677,571           0.0  pthread_create     
      0.1          463,384          3    154,461.3    176,489.0     75,431     211,464      70,641.0  poll               
      0.1          263,341          7     37,620.1     11,722.0      9,438     184,033      64,728.4  fopen64            
      0.0          140,833          2     70,416.5     70,416.5     18,445     122,388      73,498.8  fclose             
      0.0          109,465          3     36,488.3     28,553.0     19,026      61,886      22,504.9  fgets              
      0.0          102,801          4     25,700.3     12,854.0      7,624      69,469      29,287.7  connect            
      0.0           97,702          4     24,425.5     14,858.0      5,610      62,376      25,677.3  send               
      0.0           40,916          4     10,229.0     10,013.5      8,356      12,533       1,744.9  write              
      0.0           36,788          4      9,197.0      7,594.0      6,632      14,968       3,874.8  socket             
      0.0           31,929          1     31,929.0     31,929.0     31,929      31,929           0.0  fread              
      0.0           28,973          3      9,657.7      9,537.0      6,412      13,024       3,307.7  pthread_cond_signal
      0.0           24,546          9      2,727.3      2,154.0      1,052       6,161       1,850.4  epoll_ctl          
      0.0           24,235          2     12,117.5     12,117.5      1,653      22,582      14,799.0  shutdown           
      0.0           23,964          1     23,964.0     23,964.0     23,964      23,964           0.0  socketpair         
      0.0           23,093          1     23,093.0     23,093.0     23,093      23,093           0.0  pthread_mutex_lock 
      0.0           22,120          3      7,373.3      7,704.0      6,001       8,415       1,240.5  writev             
      0.0           16,551          3      5,517.0      5,520.0      5,320       5,711         195.5  stat               
      0.0           14,998          1     14,998.0     14,998.0     14,998      14,998           0.0  getc               
      0.0            7,524          4      1,881.0      1,533.0      1,312       3,146         858.5  ioctl              
      0.0            6,533          4      1,633.3      1,543.0      1,373       2,074         315.3  sigaction          
      0.0            3,517          3      1,172.3      1,082.0      1,042       1,393         192.1  fcntl64            
      0.0            1,533          1      1,533.0      1,533.0      1,533       1,533           0.0  fcntl              
      0.0            1,342          1      1,342.0      1,342.0      1,342       1,342           0.0  fflush             

