Generating SQLite file profiles/streaming.sqlite from profiles/streaming.nsys-rep
Processing [profiles/streaming.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances      Avg (ns)          Med (ns)         Min (ns)        Max (ns)     StdDev (ns)    Style                       Range                     
 --------  ---------------  ---------  ----------------  ----------------  --------------  --------------  ------------  -------  ----------------------------------------------
     24.8   46,943,116,419          1  46,943,116,419.0  46,943,116,419.0  46,943,116,419  46,943,116,419           0.0  PushPop  :af_suite.scenario:streaming                  
     24.7   46,784,454,737      1,752      26,703,455.9      17,539,243.5         149,018   1,599,674,735  60,369,939.1  PushPop  :maf.agent.run_streaming.pull:streamer        
     24.7   46,757,152,903      1,752      26,687,872.7      17,525,155.5         143,116   1,599,657,982  60,370,453.9  PushPop  :maf.chat.get_streaming_response.pull:streamer
     24.7   46,704,283,809      1,753      26,642,489.3      17,496,015.0           7,875   1,599,236,137  60,352,226.9  PushPop  :maf.function_loop.chat_streaming.pull:1      
      1.1    2,023,019,314     32,444          62,354.2           9,347.5             200     130,568,260     805,637.9  PushPop  GIL Trace:Holding GIL                         
      0.0          797,952          5         159,590.4          63,804.0          21,381         374,824     168,477.9  PushPop  GIL Trace:Waiting for GIL                     
      0.0          722,726          1         722,726.0         722,726.0         722,726         722,726           0.0  PushPop  :maf.agent.after_run:streamer                 
      0.0          113,499          1         113,499.0         113,499.0         113,499         113,499           0.0  PushPop  :maf.agent.run_streaming:streamer             
      0.0           61,128          1          61,128.0          61,128.0          61,128          61,128           0.0  PushPop  :maf.agent.prepare:streamer                   
      0.0            9,038          1           9,038.0           9,038.0           9,038           9,038           0.0  PushPop  :maf.function_loop.pre_tools_streaming:1      
      0.0            1,913          1           1,913.0           1,913.0           1,913           1,913           0.0  PushPop  :maf.function_loop.chat_streaming.finalize:1  

Processing [profiles/streaming.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)       Med (ns)    Min (ns)      Max (ns)       StdDev (ns)            Name        
 --------  ---------------  ---------  ---------------  -----------  ---------  --------------  ----------------  -------------------
     50.4   46,557,486,192          6  7,759,581,032.0    991,284.5    181,350  46,545,867,440  19,001,322,414.4  sem_wait           
     49.1   45,394,834,276      3,468     13,089,629.3     91,547.0      1,001   1,197,168,009      41,100,786.0  epoll_wait         
      0.2      184,691,501      1,369        134,909.8    143,286.0      5,290         202,421          38,651.1  open64             
      0.1      112,543,356      1,304         86,306.3     85,966.0      1,573         164,127          19,911.5  close              
      0.1       93,517,089      2,594         36,051.3     17,514.0      1,012      46,040,039         903,681.5  read               
      0.0       19,196,172      1,747         10,988.1     10,630.0      1,192          29,608           4,669.7  recv               
      0.0       14,888,774      1,418         10,499.8      4,559.0      3,637       1,675,998          85,485.3  munmap             
      0.0       12,924,254      3,490          3,703.2      3,507.0      1,483          38,364           1,870.4  epoll_ctl          
      0.0        7,709,346      1,454          5,302.2      4,408.5      3,417          20,680           2,015.5  mmap64             
      0.0        7,356,124      1,180          6,234.0      7,059.0      2,846          37,172           2,914.6  write              
      0.0        2,302,437          1      2,302,437.0  2,302,437.0  2,302,437       2,302,437               0.0  waitpid            
      0.0          749,558          3        249,852.7    250,955.0    232,549         266,054          16,779.7  pthread_create     
      0.0          385,966         47          8,212.0      1,864.0      1,011          47,432          12,482.5  pthread_cond_signal
      0.0          373,733          8         46,716.6     11,317.0      8,747         154,449          65,678.5  fopen64            
      0.0          332,962          3        110,987.3     88,832.0     40,788         203,342          83,511.0  poll               
      0.0          326,431         38          8,590.3      5,134.5      4,169          55,608          10,170.3  fgets              
      0.0          205,918          5         41,183.6      5,791.0      2,334          97,949          51,426.3  fclose             
      0.0          112,097          5         22,419.4     10,921.0      5,681          59,415          22,816.7  connect            
      0.0          107,517         14          7,679.8      6,843.5      2,224          21,782           5,382.8  send               
      0.0           50,970          5         10,194.0      7,054.0      4,459          18,015           5,830.2  socket             
      0.0           28,936          3          9,645.3      9,528.0      1,253          18,155           8,451.6  shutdown           
      0.0           20,460          1         20,460.0     20,460.0     20,460          20,460               0.0  pthread_mutex_lock 
      0.0           17,854          2          8,927.0      8,927.0      5,751          12,103           4,491.5  pipe2              
      0.0           14,758          1         14,758.0     14,758.0     14,758          14,758               0.0  socketpair         
      0.0           12,965          1         12,965.0     12,965.0     12,965          12,965               0.0  fread              
      0.0           12,424          3          4,141.3      4,539.0      3,186           4,699             831.2  stat               
      0.0           11,433          3          3,811.0      3,777.0      3,678           3,978             152.9  writev             
      0.0            9,489          1          9,489.0      9,489.0      9,489           9,489               0.0  fputs_unlocked     
      0.0            8,657          7          1,236.7      1,143.0      1,002           1,823             286.1  ioctl              
      0.0            7,174          5          1,434.8      1,313.0      1,263           1,974             302.9  sigaction          
      0.0            3,908          3          1,302.7      1,013.0      1,002           1,893             511.3  fcntl              
      0.0            3,186          1          3,186.0      3,186.0      3,186           3,186               0.0  getc               
      0.0            2,205          2          1,102.5      1,102.5      1,032           1,173              99.7  fcntl64            
      0.0            1,653          1          1,653.0      1,653.0      1,653           1,653               0.0  getentropy         
      0.0            1,243          1          1,243.0      1,243.0      1,243           1,243               0.0  dup2               
      0.0            1,122          1          1,122.0      1,122.0      1,122           1,122               0.0  fflush             

