Generating SQLite file profiles/tools.sqlite from profiles/tools.nsys-rep
Processing [profiles/tools.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)     StdDev (ns)   Style                 Range               
 --------  ---------------  ---------  ---------------  ---------------  -------------  -------------  -----------  -------  ----------------------------------
     24.2    7,188,714,401          1  7,188,714,401.0  7,188,714,401.0  7,188,714,401  7,188,714,401          0.0  PushPop  :af_suite.scenario:tools          
     24.1    7,136,387,549          1  7,136,387,549.0  7,136,387,549.0  7,136,387,549  7,136,387,549          0.0  PushPop  :maf.agent.run:tool_stress        
     24.1    7,136,193,554          1  7,136,193,554.0  7,136,193,554.0  7,136,193,554  7,136,193,554          0.0  PushPop  :maf.chat.get_response:tool_stress
     18.3    5,439,277,221          1  5,439,277,221.0  5,439,277,221.0  5,439,277,221  5,439,277,221          0.0  PushPop  :maf.function_loop.chat:1         
      5.2    1,545,483,882          1  1,545,483,882.0  1,545,483,882.0  1,545,483,882  1,545,483,882          0.0  PushPop  :maf.function_loop.chat:2         
      3.0      896,744,111     19,266         46,545.4          2,355.0            210     54,305,584    553,470.5  PushPop  GIL Trace:Holding GIL             
      0.5      151,161,347          1    151,161,347.0    151,161,347.0    151,161,347    151,161,347          0.0  PushPop  :maf.function_loop.process_tools:1
      0.5      150,599,582          1    150,599,582.0    150,599,582.0    150,599,582    150,599,582          0.0  PushPop  :maf.tool.invoke:lookup_ticket    
      0.0          665,646          5        133,129.2         35,930.0         30,439        297,334    136,377.5  PushPop  GIL Trace:Waiting for GIL         
      0.0           93,741          1         93,741.0         93,741.0         93,741         93,741          0.0  PushPop  :maf.agent.prepare:tool_stress    
      0.0           51,048          1         51,048.0         51,048.0         51,048         51,048          0.0  PushPop  :maf.agent.after_run:tool_stress  
      0.0           21,231          1         21,231.0         21,231.0         21,231         21,231          0.0  PushPop  :maf.function_loop.pre_tools:2    
      0.0           10,340          1         10,340.0         10,340.0         10,340         10,340          0.0  PushPop  :maf.function_loop.process_tools:2
      0.0            9,318          1          9,318.0          9,318.0          9,318          9,318          0.0  PushPop  :maf.function_loop.pre_tools:1    

Processing [profiles/tools.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/25.5/profilers/Nsight_Systems/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)       Med (ns)      Min (ns)      Max (ns)       StdDev (ns)           Name        
 --------  ---------------  ---------  -------------  -------------  -----------  -------------  ---------------  -------------------
     48.6    6,810,358,072         62  109,844,485.0        2,425.0        1,002  1,071,467,933    208,121,236.8  epoll_wait         
     47.4    6,643,859,390          7  949,122,770.0    1,244,664.0      147,815  5,084,221,250  1,912,208,916.0  sem_wait           
      1.3      185,817,412      1,372      135,435.4      143,267.0        5,210        299,649         39,235.5  open64             
      1.1      150,097,292          1  150,097,292.0  150,097,292.0  150,097,292    150,097,292              0.0  clock_nanosleep    
      0.8      116,002,468      1,306       88,822.7       89,968.5        2,074        142,326         19,736.1  close              
      0.7       94,576,938      2,596       36,431.8       17,543.0        1,102     46,214,496        906,767.5  read               
      0.1       13,085,189      1,413        9,260.6        4,729.0        3,276      1,771,242         79,295.7  munmap             
      0.0        6,675,622      1,446        4,616.6        3,717.0        3,256         34,446          1,995.7  mmap64             
      0.0        2,304,030          1    2,304,030.0    2,304,030.0    2,304,030      2,304,030              0.0  waitpid            
      0.0          968,230          3      322,743.3      356,138.0      233,140        378,952         78,432.7  pthread_create     
      0.0          575,432          6       95,905.3       50,888.0        1,172        253,490        114,938.2  poll               
      0.0          376,177          8       47,022.1       11,833.0        8,657        160,891         65,750.1  fopen64            
      0.0          374,886         19       19,730.8       20,610.0        1,774         59,705         14,937.2  pthread_cond_signal
      0.0          354,845          4       88,711.3        8,431.0        3,948        334,035        163,562.9  write              
      0.0          291,852         38        7,680.3        5,180.0        3,908         36,620          7,146.7  fgets              
      0.0          227,660          5       45,532.0        5,852.0        2,264        118,669         57,888.6  fclose             
      0.0          205,149         51        4,022.5        3,898.0        1,142         16,602          2,114.9  epoll_ctl          
      0.0          169,658         14       12,118.4        9,969.0        4,569         31,160          7,042.2  send               
      0.0          156,373          5       31,274.6       13,265.0        8,457         93,050         35,663.1  connect            
      0.0          136,992         24        5,708.0        5,325.0        1,713         13,667          2,267.6  recv               
      0.0           66,286          5       13,257.2       12,213.0        6,402         21,621          5,527.1  socket             
      0.0           33,606          3       11,202.0       13,246.0        4,769         15,591          5,693.2  stat               
      0.0           22,203          2       11,101.5       11,101.5        1,984         20,219         12,894.1  shutdown           
      0.0           16,401          2        8,200.5        8,200.5        5,891         10,510          3,266.1  pipe2              
      0.0           13,756          3        4,585.3        4,248.0        4,008          5,500            801.2  writev             
      0.0           13,295          1       13,295.0       13,295.0       13,295         13,295              0.0  fread              
      0.0           12,714          1       12,714.0       12,714.0       12,714         12,714              0.0  socketpair         
      0.0            8,936          7        1,276.6        1,112.0        1,011          2,004            360.1  ioctl              
      0.0            7,755          5        1,551.0        1,433.0        1,012          2,404            569.6  fcntl              
